Inbound,Source Port,URG Flag Count,RST Flag Count,Packet Length Std,Bwd Packet Length Std,Bwd Packet Length Max,Fwd Packet Length Std,Packet Length Variance,Avg Bwd Segment Size,Bwd Packet Length Mean,Max Packet Length,Bwd IAT Total,Bwd IAT Max,Flow Duration,Flow IAT Max,Fwd IAT Total,Idle Mean,Idle Min,Fwd IAT Max,Idle Max,Bwd IAT Std,Bwd IAT Mean,Fwd IAT Std,Flow IAT Std,Bwd Packets/s,Total Length of Fwd Packets,Subflow Fwd Bytes,Init_Win_bytes_backward,Subflow Fwd Packets
1.0,443.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1464.9586,0.0,0.0,0.406016,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2846.0,2929.9172,-1.0,2.0
1.0,63034.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1472.0,0.0,0.0,0.183583,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5541.0,2944.0,-1.0,2.0
0.0,443.0,1.0,0.0,13.145341,0.0,0.0,13.856406,172.8,0.0,0.0,24.0,0.0,0.0,163.668971,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1287.0,48.0,-1.0,4.0
0.0,62893.0,0.0,0.0,559.7367,822.99945,2524.0,175.15973,313305.16,523.0909,523.0909,2524.0,100605.0,43888.0,150.029211,41753.0,168459.0,0.0,0.0,55400.0,0.0,18024.043,10060.5,19569.13,14078.091,65.29779,534.0,1639.0,242.0,16.0
0.0,62781.0,1.0,1.0,14.433757,0.0,0.0,17.67767,208.33333,0.0,0.0,31.0,0.0,0.0,159.997996,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,520.0,37.0,-1.0,2.0
1.0,443.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1472.0,0.0,0.0,159.955676,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,465.0,2944.0,-1.0,2.0
0.0,443.0,0.0,0.0,598.98096,624.9067,1448.0,587.54004,358778.2,489.27777,489.27777,2181.0,207362.0,107609.0,0.0,44346.0,204752.0,0.0,0.0,89865.0,0.0,29034.436,12197.765,24186.002,15223.323,71.77892,85.0,6080.0,7420.0,19.0
0.0,443.0,1.0,1.0,14.433757,0.0,0.0,17.67767,208.33333,0.0,0.0,31.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,37.0,-1.0,2.0
1.0,62720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1472.0,0.0,0.0,110.361232,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,333.0,2944.0,-1.0,2.0
1.0,443.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1472.0,0.0,0.0,110.359414,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,2944.0,-1.0,2.0
