id,predicted_class,DrDoS_DNS,DrDoS_LDAP,Syn,LDAP,BENIGN
1,DrDoS_LDAP,0.0,0.7168999910354614,0.10779999941587448,0.1754000037908554,0.0
2,BENIGN,0.00019999999494757503,0.0015999999595806003,0.007699999958276749,0.003000000026077032,0.987500011920929
3,BENIGN,0.0,0.0,0.0,0.0,1.0
4,DrDoS_DNS,1.0,0.0,0.0,0.0,0.0
5,DrDoS_DNS,0.9998999834060669,0.0,0.0,0.0,9.999999747378752e-05
6,DrDoS_DNS,1.0,0.0,0.0,0.0,0.0
7,DrDoS_DNS,1.0,0.0,0.0,0.0,0.0
8,DrDoS_LDAP,0.10329999774694443,0.8716999888420105,0.0003000000142492354,0.010900000110268593,0.013799999840557575
9,BENIGN,0.0005000000237487257,0.0,0.0,0.0,0.9994999766349792
10,DrDoS_DNS,1.0,0.0,0.0,0.0,0.0
