id,predicted_class,DrDoS_DNS,DrDoS_LDAP,Syn,LDAP,BENIGN
1,DrDoS_LDAP,0.0,0.7297999858856201,0.09880000352859497,0.17139999568462372,0.0
2,BENIGN,0.00019999999494757503,0.0015999999595806003,0.007699999958276749,0.003000000026077032,0.987500011920929
3,DrDoS_DNS,1.0,0.0,0.0,0.0,0.0
4,BENIGN,0.0005000000237487257,0.0,0.0,0.0,0.9994000196456909
5,BENIGN,0.0006000000284984708,0.0,0.0,0.0,0.9994000196456909
6,DrDoS_DNS,1.0,0.0,0.0,0.0,0.0
7,DrDoS_DNS,1.0,0.0,0.0,0.0,0.0
8,DrDoS_DNS,1.0,0.0,0.0,0.0,0.0
9,BENIGN,0.0005000000237487257,0.0,0.0,0.0,0.9994999766349792
10,DrDoS_DNS,1.0,0.0,0.0,0.0,0.0
