Inbound,Source Port,URG Flag Count,RST Flag Count,Packet Length Std,Bwd Packet Length Std,Bwd Packet Length Max,Fwd Packet Length Std,Packet Length Variance,Avg Bwd Segment Size,Bwd Packet Length Mean,Max Packet Length,Bwd IAT Total,Bwd IAT Max,Flow Duration,Flow IAT Max,Fwd IAT Total,Idle Mean,Idle Min,Fwd IAT Max,Idle Max,Bwd IAT Std,Bwd IAT Mean,Fwd IAT Std,Flow IAT Std,Bwd Packets/s,Total Length of Fwd Packets,Subflow Fwd Bytes,Init_Win_bytes_backward,Subflow Fwd Packets
1.0,443.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1472.0,0.0,0.0,5.348995,46.358047,46.358047,0.0,0.0,46.358047,0.0,0.0,0.0,0.0,0.0,0.0,7868.0,2944.0,-1.0,2.0
0.0,63034.0,0.0,0.0,568.20715,658.325,2860.0,482.6503,322859.4,322.88,322.88,2860.0,183226.0,58620.0,5.348988,54332.0,183146.0,0.0,0.0,55149.0,0.0,18855.23,7634.4165,17967.846,14760.349,105.31326,5865.0,5370.0,268.0,26.0
1.0,51301.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1472.0,0.0,0.0,58.596393,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6519.0,2944.0,-1.0,2.0
1.0,443.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1472.0,0.0,0.0,58.619898,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5630.0,2944.0,-1.0,2.0
1.0,54600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1472.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,2944.0,-1.0,2.0
1.0,65310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1464.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,2928.0,-1.0,2.0
0.0,53.0,0.0,0.0,483.51556,652.58514,2860.0,164.93027,233787.3,372.72,372.72,2860.0,163436.0,43245.0,0.0,40864.0,163410.0,0.0,0.0,55749.0,0.0,14335.485,6809.8335,15346.066,11257.0625,122.38284,188.0,2520.0,250.0,26.0
1.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1465.3147,0.0,0.0,0.0,48.83566,48.83566,0.0,0.0,48.83566,0.0,0.0,0.0,0.0,0.0,0.0,139.0,2930.6294,-1.0,2.0
0.0,54276.0,1.0,0.0,11.572751,14.433757,31.0,0.0,133.92857,18.5,18.5,31.0,9795974.0,9795971.0,0.19473,9795971.0,9860683.0,9795971.0,9795971.0,9860682.0,9795971.0,5655705.5,3265324.8,6972554.5,3993987.8,0.40565142,5365.0,18.0,32120.0,3.0
1.0,443.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1472.0,0.0,0.0,0.217785,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3959.0,2944.0,-1.0,2.0
1.0,443.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1472.0,0.0,0.0,163.668971,47.386208,47.386208,0.0,0.0,47.386208,0.0,0.0,0.0,0.0,0.0,0.0,1287.0,2944.0,-1.0,2.0
1.0,62919.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1472.0,0.0,0.0,163.670746,48.142635,48.142635,0.0,0.0,48.142635,0.0,0.0,0.0,0.0,0.0,0.0,486.0,2944.0,-1.0,2.0
1.0,62893.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1472.0,0.0,0.0,150.029211,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,534.0,2944.0,-1.0,2.0
1.0,443.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1472.0,0.0,0.0,150.030362,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,360.0,2944.0,-1.0,2.0
0.0,62781.0,1.0,1.0,17.897858,0.0,0.0,21.920311,320.33334,0.0,0.0,31.0,0.0,0.0,160.183627,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,790.0,31.0,-1.0,2.0
0.0,443.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,160.135529,80.0,81.0,0.0,0.0,80.0,0.0,0.0,0.0,55.861435,55.861435,0.0,765.0,18.0,-1.0,3.0
1.0,443.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1472.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,2944.0,-1.0,2.0
1.0,63001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1472.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,2944.0,-1.0,2.0
1.0,443.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1472.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,2944.0,-1.0,2.0
0.0,62996.0,1.0,1.0,19.97999,0.0,0.0,21.68525,399.2,0.0,0.0,46.0,0.0,0.0,0.0,1287.0,1292.0,0.0,0.0,1287.0,0.0,0.0,0.0,741.6079,741.6079,0.0,54.0,123.0,-1.0,4.0
0.0,62720.0,1.0,1.0,21.082952,0.0,46.0,22.825033,444.4909,46.0,46.0,46.0,1.0,1.0,110.593086,53166376.0,53193880.0,53166376.0,53166376.0,53166376.0,53166376.0,0.0,1.0,20093270.0,17720980.0,0.03759831,495.0,215.0,248.0,8.0
1.0,443.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1472.0,0.0,0.0,110.527855,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,480.0,2944.0,-1.0,2.0
0.0,443.0,1.0,1.0,17.897858,0.0,0.0,21.920311,320.33334,0.0,0.0,31.0,0.0,0.0,149.999042,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1038.0,31.0,-1.0,2.0
1.0,62717.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1472.0,0.0,0.0,149.998769,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,324.0,2944.0,-1.0,2.0
1.0,62897.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1448.0,0.0,0.0,124.144542,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,755.0,2896.0,-1.0,2.0
1.0,443.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1472.0,0.0,0.0,124.093373,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,770.0,2944.0,-1.0,2.0
1.0,62985.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1472.0,0.0,0.0,120.021585,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,2944.0,-1.0,2.0
1.0,443.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1472.0,0.0,0.0,120.012478,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,2944.0,-1.0,2.0
1.0,54417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1472.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,2944.0,-1.0,2.0
1.0,60460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1472.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,2944.0,-1.0,2.0
1.0,56305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1472.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,2944.0,-1.0,2.0
1.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1472.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,2944.0,-1.0,2.0
1.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1472.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,2944.0,-1.0,2.0
1.0,63035.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1472.0,0.0,0.0,2.695941,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10490.0,2944.0,-1.0,2.0
1.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1448.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,2896.0,-1.0,2.0
1.0,443.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1363.3912,0.0,0.0,2.514077,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14917.0,2726.7825,-1.0,2.0
1.0,62994.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1472.0,0.0,0.0,0.002708,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,2944.0,-1.0,2.0
1.0,443.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1472.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,2944.0,-1.0,2.0
0.0,51033.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56059.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.838348,80.0,0.0,1026.0,1.0
1.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1472.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0,2944.0,-1.0,2.0
0.0,63036.0,1.0,1.0,17.907167,0.0,0.0,18.78031,320.66666,0.0,0.0,46.0,0.0,0.0,0.393827,227.0,234.0,0.0,0.0,227.0,0.0,0.0,0.0,112.33729,112.33729,0.0,775.0,154.0,-1.0,5.0
1.0,443.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1472.0,0.0,0.0,0.326964,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4998.0,2944.0,-1.0,2.0
1.0,443.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1472.0,0.0,0.0,73.731963,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,2944.0,-1.0,2.0
1.0,63022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1472.0,0.0,0.0,73.72974,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,2944.0,-1.0,2.0
0.0,57621.0,1.0,1.0,17.897858,0.0,0.0,21.920311,320.33334,0.0,0.0,31.0,0.0,0.0,120.088867,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,430.0,31.0,-1.0,2.0
0.0,59815.0,0.0,0.0,180.50656,70.73822,210.0,241.98663,32582.621,35.090908,35.090908,721.0,60614044.0,10102950.0,3.017761,10011798.0,60705708.0,9985338.0,9935621.0,10103094.0,10011798.0,4656246.5,2886383.0,4577154.0,3459274.8,0.36240414,848.0,2588.0,31003.0,23.0
1.0,4070.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1375.6749,0.0,0.0,120.011706,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,195.0,2751.3499,-1.0,2.0
0.0,62881.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.006495,54583.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.320723,227.0,0.0,1026.0,1.0
1.0,52568.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1472.0,0.0,0.0,0.169415,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4213.0,2944.0,-1.0,2.0
