Inbound,Source Port,URG Flag Count,RST Flag Count,Packet Length Std,Bwd Packet Length Std,Bwd Packet Length Max,Fwd Packet Length Std,Packet Length Variance,Avg Bwd Segment Size,Bwd Packet Length Mean,Max Packet Length,Bwd IAT Total,Bwd IAT Max,Flow Duration,Flow IAT Max,Fwd IAT Total,Idle Mean,Idle Min,Fwd IAT Max,Idle Max,Bwd IAT Std,Bwd IAT Mean,Fwd IAT Std,Flow IAT Std,Bwd Packets/s,Total Length of Fwd Packets,Subflow Fwd Bytes,Init_Win_bytes_backward,Subflow Fwd Packets
0.0,443.0,1.0,1.0,19.97999,0.0,0.0,21.68525,399.2,0.0,0.0,46.0,0.0,0.0,0.406016,564.0,569.0,0.0,0.0,564.0,0.0,0.0,0.0,324.18256,324.18256,0.0,2846.0,123.0,-1.0,4.0
0.0,63034.0,0.0,0.0,598.2376,861.86975,2920.0,198.01479,357888.22,452.77777,452.77777,2920.0,240606.0,63428.0,0.183583,56970.0,299566.0,0.0,0.0,59050.0,0.0,26077.787,14153.294,24056.889,18515.621,60.086926,5541.0,2776.0,1021.0,23.0
0.0,443.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14299466.0,7999994.0,163.668971,7999994.0,3.0,7999994.0,7999994.0,3.0,7999994.0,2769711.0,1588829.5,0.0,2557238.8,0.69729996,1287.0,0.0,60720.0,2.0
0.0,62893.0,0.0,0.0,809.95184,1174.1106,2920.0,178.70801,656022.0,842.6,842.6,2920.0,732722.0,366756.0,150.029211,4672511.0,5812463.0,0.0,0.0,4672511.0,0.0,161101.78,81413.555,1235635.2,951416.25,1.7204411,534.0,1348.0,30016.0,15.0
0.0,62781.0,1.0,1.0,19.97999,0.0,0.0,21.68525,399.2,0.0,0.0,46.0,0.0,0.0,159.997996,943.0,945.0,0.0,0.0,943.0,0.0,0.0,0.0,543.86487,543.86487,0.0,520.0,123.0,-1.0,4.0
1.0,443.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1472.0,0.0,0.0,159.955676,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,465.0,2944.0,-1.0,2.0
1.0,443.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1472.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,2944.0,-1.0,2.0
1.0,443.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1472.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,2944.0,-1.0,2.0
1.0,62720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1472.0,0.0,0.0,110.361232,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,333.0,2944.0,-1.0,2.0
0.0,443.0,0.0,0.0,375.15167,519.6341,1430.0,139.51251,140738.78,291.81818,291.81818,1430.0,117335620.0,58884652.0,110.359414,58844492.0,117397840.0,58525820.0,58207148.0,58910240.0,58844492.0,17616980.0,5587410.5,16211124.0,11939631.0,0.18739697,300.0,1906.0,246.0,26.0
