Inbound,Source Port,URG Flag Count,RST Flag Count,Packet Length Std,Bwd Packet Length Std,Bwd Packet Length Max,Fwd Packet Length Std,Packet Length Variance,Avg Bwd Segment Size,Bwd Packet Length Mean,Max Packet Length,Bwd IAT Total,Bwd IAT Max,Flow Duration,Flow IAT Max,Fwd IAT Total,Idle Mean,Idle Min,Fwd IAT Max,Idle Max,Bwd IAT Std,Bwd IAT Mean,Fwd IAT Std,Flow IAT Std,Bwd Packets/s,Total Length of Fwd Packets,Subflow Fwd Bytes,Init_Win_bytes_backward,Subflow Fwd Packets
1.0,443.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1472.0,0.0,0.0,5.348995,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7868.0,2944.0,-1.0,2.0
1.0,63034.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1448.0,0.0,0.0,5.348988,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5865.0,2896.0,-1.0,2.0
1.0,51301.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1472.0,0.0,0.0,58.596393,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6519.0,2944.0,-1.0,2.0
1.0,443.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1468.6199,0.0,0.0,58.619898,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5630.0,2937.2397,-1.0,2.0
1.0,54600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1472.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,2944.0,-1.0,2.0
1.0,65310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1464.2776,0.0,0.0,0.0,48.965305,48.965305,0.0,0.0,48.965305,0.0,0.0,0.0,0.0,0.0,0.0,85.0,2928.5552,-1.0,2.0
1.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1472.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,188.0,2944.0,-1.0,2.0
0.0,53.0,1.0,1.0,14.433757,0.0,0.0,17.67767,208.33333,0.0,0.0,31.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,37.0,-1.0,2.0
1.0,54276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1472.0,0.0,0.0,0.19473,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5365.0,2944.0,-1.0,2.0
1.0,443.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1448.0,0.0,0.0,0.217785,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3959.0,2896.0,-1.0,2.0
0.0,443.0,1.0,1.0,27.135462,0.0,0.0,33.23402,736.3333,0.0,0.0,53.0,0.0,0.0,163.668971,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1287.0,59.0,-1.0,2.0
0.0,62919.0,1.0,1.0,17.897858,0.0,0.0,21.920311,320.33334,0.0,0.0,31.0,0.0,0.0,163.670746,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,486.0,31.0,-1.0,2.0
1.0,62893.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1472.0,0.0,0.0,150.029211,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,534.0,2944.0,-1.0,2.0
