Inbound,Source Port,URG Flag Count,RST Flag Count,Packet Length Std,Bwd Packet Length Std,Bwd Packet Length Max,Fwd Packet Length Std,Packet Length Variance,Avg Bwd Segment Size,Bwd Packet Length Mean,Max Packet Length,Bwd IAT Total,Bwd IAT Max,Flow Duration,Flow IAT Max,Fwd IAT Total,Idle Mean,Idle Min,Fwd IAT Max,Idle Max,Bwd IAT Std,Bwd IAT Mean,Fwd IAT Std,Flow IAT Std,Bwd Packets/s,Total Length of Fwd Packets,Subflow Fwd Bytes,Init_Win_bytes_backward,Subflow Fwd Packets
0.0,443.0,0.0,0.0,425.05124,259.49725,1033.0,548.1288,180668.56,83.066666,83.066666,2145.0,70258824.0,10033137.0,5.348995,10011530.0,76629770.0,9543877.0,6349506.0,10032867.0,10011530.0,4367089.5,2422718.0,4394428.5,3323972.0,0.39149278,7868.0,5558.0,4328.0,30.0
1.0,63034.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1466.7789,0.0,0.0,5.348988,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5865.0,2933.5579,-1.0,2.0
0.0,51301.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,6.0,6.0,2.0,2.0,58.596393,28767.0,122.0,0.0,0.0,120.0,0.0,0.0,2.0,83.4386,14362.941,69.22571,6519.0,18.0,283.0,3.0
1.0,443.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1472.0,0.0,0.0,58.619898,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5630.0,2944.0,-1.0,2.0
1.0,54600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1472.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,2944.0,-1.0,2.0
0.0,65310.0,0.0,0.0,673.678,885.4448,3355.0,207.64467,453842.03,625.9,625.9,3355.0,6350946.0,5385739.0,0.0,5343564.0,1255486.0,5343564.0,5343564.0,309868.0,5343564.0,1228781.8,334260.3,116406.18,854011.44,3.0307379,85.0,2942.0,63.0,20.0
1.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1472.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,188.0,2944.0,-1.0,2.0
1.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1472.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,2944.0,-1.0,2.0
1.0,54276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1472.0,0.0,0.0,0.19473,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5365.0,2944.0,-1.0,2.0
1.0,443.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.217785,49.910976,49.910976,0.0,0.0,49.910976,0.0,0.0,0.0,0.0,0.0,0.0,3959.0,12.0,-1.0,2.0
1.0,443.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,6.0,6.0,1.992626,1.992626,163.668971,103.496315,1.0,0.0,0.0,1.0,0.0,0.0,1.992626,0.0,58.89394,18785.02,1287.0,12.0,0.0,2.0
1.0,62919.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1472.0,0.0,0.0,163.670746,2.7837634,2.7837634,0.0,0.0,2.7837634,0.0,0.0,0.0,0.0,0.0,0.0,486.0,2944.0,-1.0,2.0
0.0,62893.0,1.0,1.0,19.97999,0.0,0.0,21.68525,399.2,0.0,0.0,46.0,0.0,0.0,150.029211,946.0,948.0,0.0,0.0,946.0,0.0,0.0,0.0,545.596,545.596,0.0,534.0,123.0,-1.0,4.0
1.0,443.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,6.0,6.0,1.0,1.0,150.030362,103.870544,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,59.392334,18900.752,360.0,12.0,0.0,2.0
1.0,62781.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1472.0,0.0,0.0,160.183627,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,790.0,2944.0,-1.0,2.0
1.0,443.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1468.6163,0.0,0.0,160.135529,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,765.0,2937.2327,-1.0,2.0
1.0,443.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1467.7515,0.0,0.0,0.0,41.966072,41.966072,0.0,0.0,41.966072,0.0,0.0,0.0,0.0,0.0,0.0,145.0,2935.503,-1.0,2.0
0.0,63001.0,0.0,0.0,543.32477,773.35565,2525.0,175.15973,295201.8,448.6154,448.6154,2525.0,84512.0,30865.0,0.0,26495.0,111411.0,0.0,0.0,51047.0,0.0,12760.52,7042.6665,15185.64,9173.49,116.68507,54.0,1639.0,246.0,16.0
1.0,443.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1472.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,2944.0,-1.0,2.0
1.0,62996.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1472.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,2944.0,-1.0,2.0
1.0,62720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1472.0,0.0,0.0,110.593086,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,495.0,2944.0,-1.0,2.0
1.0,443.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1472.0,0.0,0.0,110.527855,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,480.0,2944.0,-1.0,2.0
1.0,443.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1472.0,0.0,0.0,149.999042,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1038.0,2944.0,-1.0,2.0
