SrcIP,DstIP,SrcPort,DstPort,Protocol,FlowDuration,TotPkts,TotBytes,AvgPktSize
40.79.173.41,172.27.49.232,443,63034,TCP,5.348995,17,7868,462.8235294117647
172.27.49.232,40.79.173.41,63034,443,TCP,5.348988,11,5865,533.1818181818181
172.27.49.232,35.186.224.22,51301,443,UDP,58.596393,41,6519,159.0
35.186.224.22,172.27.49.232,443,51301,UDP,58.619898,41,5630,137.3170731707317
172.27.49.232,192.168.32.1,54600,53,UDP,0.0,1,85,85.0
172.27.49.232,192.168.32.1,65310,53,UDP,0.0,1,85,85.0
192.168.32.1,172.27.49.232,53,65310,UDP,0.0,1,188,188.0
192.168.32.1,172.27.49.232,53,54600,UDP,0.0,1,139,139.0
172.27.49.232,35.186.224.22,54276,443,UDP,0.19473,8,5365,670.625
35.186.224.22,172.27.49.232,443,54276,UDP,0.217785,9,3959,439.8888888888889
172.253.118.95,172.27.49.232,443,62919,TCP,163.668971,9,1287,143.0
172.27.49.232,172.253.118.95,62919,443,TCP,163.670746,9,486,54.0
172.27.49.232,35.186.224.40,62893,443,TCP,150.029211,6,534,89.0
35.186.224.40,172.27.49.232,443,62893,TCP,150.030362,6,360,60.0
172.27.49.232,52.123.160.78,62781,443,TCP,160.183627,10,790,79.0
52.123.160.78,172.27.49.232,443,62781,TCP,160.135529,10,765,76.5
150.171.84.254,172.27.49.232,443,63001,TCP,0.0,2,145,72.5
172.27.49.232,150.171.84.254,63001,443,TCP,0.0,1,54,54.0
13.107.213.254,172.27.49.232,443,62996,TCP,0.0,2,145,72.5
172.27.49.232,13.107.213.254,62996,443,TCP,0.0,1,54,54.0
172.27.49.232,52.123.160.113,62720,443,TCP,110.593086,6,495,82.5
52.123.160.113,172.27.49.232,443,62720,TCP,110.527855,6,480,80.0
74.125.200.95,172.27.49.232,443,62717,TCP,149.999042,6,1038,173.0
172.27.49.232,74.125.200.95,62717,443,TCP,149.998769,6,324,54.0
172.27.49.232,35.186.224.40,62897,443,TCP,124.144542,10,755,75.5
35.186.224.40,172.27.49.232,443,62897,TCP,124.093373,10,770,77.0
